,LSLR Program,Public or Consumer,Work Address,Status,Zip,Ward,Date Completed,program,ZIP,BOTH AS REQUIRED or Consumer,Type of Service,completed_year,completed_month_year,completed_day,clean_address,id,program_clean_address,full_address,row,classification_for_entire_service_line,stnum1,stnum2,stdir,stname,sttype,zip,geocoder,lat,long,geoid,matched_address,m_is_intersection,_merge
2276,Block Level LSLR,CONSUMER,8016 S JEFFERY BLVD,Completed,,8.0,2025-10-24 00:00:00,Block Level LSLR,60617.0,,,2025.0,10/2025,10-24,8016 S JEFFERY BLVD,2397,Block Level LSLR 8016 S JEFFERY BLVD,,,,,,,,,,,,,,,,left_only
2277,Block Level LSLR,PUBLIC,8016 S JEFFERY BLVD,Completed,,8.0,2025-10-24 00:00:00,Block Level LSLR,60617.0,,,2025.0,10/2025,10-24,8016 S JEFFERY BLVD,2398,Block Level LSLR 8016 S JEFFERY BLVD,,,,,,,,,,,,,,,,left_only
2278,Breaks & Leaks LSLR,PUBLIC,5540 W 64TH ST,Completed,,13.0,2025-10-24 00:00:00,Breaks Leaks,60638.0,,,2025.0,10/2025,10-24,5540 W 64TH ST,2399,Breaks Leaks 5540 W 64TH ST,,,,,,,,,,,,,,,,left_only
2279,Breaks & Leaks LSLR,PUBLIC,7420 N OLEANDER AVE,Completed,,41.0,2025-10-24 00:00:00,Breaks Leaks,60631.0,,,2025.0,10/2025,10-24,7420 N OLEANDER AVE,2400,Breaks Leaks 7420 N OLEANDER AVE,,,,,,,,,,,,,,,,left_only
2280,Breaks & Leaks LSLR,CONSUMER,7818 S MARQUETTE AVE,Completed,,7.0,2025-10-24 00:00:00,Breaks Leaks,60649.0,,,2025.0,10/2025,10-24,7818 S MARQUETTE AVE,2401,Breaks Leaks 7818 S MARQUETTE AVE,,,,,,,,,,,,,,,,left_only
2281,Block Level LSLR,PUBLIC,8020 S JEFFERY BLVD,Completed,,8.0,2025-10-24 00:00:00,Block Level LSLR,60617.0,,,2025.0,10/2025,10-24,8020 S JEFFERY BLVD,2402,Block Level LSLR 8020 S JEFFERY BLVD,,,,,,,,,,,,,,,,left_only
2282,Breaks & Leaks LSLR,CONSUMER,5756 W MELROSE ST,Completed,,30.0,2025-10-23 16:38:00,Breaks Leaks,60634.0,,,2025.0,10/2025,10-23,5756 W MELROSE ST,2403,Breaks Leaks 5756 W MELROSE ST,,,,,,,,,,,,,,,,left_only
2283,CIP WM LSLR,CONSUMER,2230 W FLETCHER ST,Completed,,32.0,2025-10-23 10:27:00,CIP Water Main,60618.0,,,2025.0,10/2025,10-23,2230 W FLETCHER ST,2404,CIP Water Main 2230 W FLETCHER ST,,,,,,,,,,,,,,,,left_only
2284,Breaks & Leaks LSLR,PUBLIC,5756 W MELROSE ST,Completed,,30.0,2025-10-23 00:00:00,Breaks Leaks,60634.0,,,2025.0,10/2025,10-23,5756 W MELROSE ST,2405,Breaks Leaks 5756 W MELROSE ST,,,,,,,,,,,,,,,,left_only
2285,Breaks & Leaks LSLR,PUBLIC,5601 05 S UNIVERSITY AVE,Completed,,5.0,2025-10-23 00:00:00,Breaks Leaks,60637.0,,,2025.0,10/2025,10-23,5601 S UNIVERSITY AVE,2406,Breaks Leaks 5601 S UNIVERSITY AVE,,,,,,,,,,,,,,,,left_only
2286,Breaks & Leaks LSLR,CONSUMER,3438 N NAGLE AVE,Completed,,38.0,2025-10-23 00:00:00,Breaks Leaks,60634.0,,,2025.0,10/2025,10-23,3438 N NAGLE AVE,2407,Breaks Leaks 3438 N NAGLE AVE,,,,,,,,,,,,,,,,left_only
2287,Breaks & Leaks LSLR,PUBLIC,3438 N NAGLE AVE,Completed,,38.0,2025-10-23 00:00:00,Breaks Leaks,60634.0,,,2025.0,10/2025,10-23,3438 N NAGLE AVE,2408,Breaks Leaks 3438 N NAGLE AVE,,,,,,,,,,,,,,,,left_only
2288,Breaks & Leaks LSLR,CONSUMER,7311 W BELMONT AVE,Completed,,29.0,2025-10-23 00:00:00,Breaks Leaks,60634.0,,,2025.0,10/2025,10-23,7311 W BELMONT AVE,2409,Breaks Leaks 7311 W BELMONT AVE,,,,,,,,,,,,,,,,left_only
2289,Breaks & Leaks LSLR,PUBLIC,7311 W BELMONT AVE,Completed,,29.0,2025-10-23 00:00:00,Breaks Leaks,60634.0,,,2025.0,10/2025,10-23,7311 W BELMONT AVE,2410,Breaks Leaks 7311 W BELMONT AVE,,,,,,,,,,,,,,,,left_only
2290,Breaks & Leaks LSLR,PUBLIC,1323 N WICKER PARK AVE,Completed,,1.0,2025-10-23 00:00:00,Breaks Leaks,60622.0,,,2025.0,10/2025,10-23,1323 N WICKER PARK AVE,2411,Breaks Leaks 1323 N WICKER PARK AVE,,,,,,,,,,,,,,,,left_only
2291,Breaks & Leaks LSLR,CONSUMER,1323 N WICKER PARK AVE,Completed,,1.0,2025-10-23 00:00:00,Breaks Leaks,60622.0,,,2025.0,10/2025,10-23,1323 N WICKER PARK AVE,2412,Breaks Leaks 1323 N WICKER PARK AVE,,,,,,,,,,,,,,,,left_only
2292,Equity LSLR,BOTH AS REQUIRED,8457 S STATE ST,Completed,,6.0,2025-10-23 00:00:00,Equity,60619.0,,,2025.0,10/2025,10-23,8457 S STATE ST,2413,Equity 8457 S STATE ST,,,,,,,,,,,,,,,,left_only
2293,CIP SM LSLR,PUBLIC,4224 W GRENSHAW ST,Completed,,24.0,2025-10-23 00:00:00,CIP Sewer Main,60624.0,,,2025.0,10/2025,10-23,4224 W GRENSHAW ST,2414,CIP Sewer Main 4224 W GRENSHAW ST,,,,,,,,,,,,,,,,left_only
2294,Breaks & Leaks LSLR,CONSUMER,7727 S EVANS AVE,Completed,,6.0,2025-10-23 00:00:00,Breaks Leaks,60619.0,,,2025.0,10/2025,10-23,7727 S EVANS AVE,2415,Breaks Leaks 7727 S EVANS AVE,,,,,,,,,,,,,,,,left_only
2295,,CONSUMER,2960 W COLUMBUS AVE,Completed,,18.0,2025-10-23 00:00:00,Daycare Private,60652.0,,Daycares,2025.0,10/2025,10-23,2960 W COLUMBUS AVE,2416,Daycare Private 2960 W COLUMBUS AVE,,,,,,,,,,,,,,,,left_only
2296,CIP SM LSLR,CONSUMER,4224 W GRENSHAW ST,Completed,,24.0,2025-10-23 00:00:00,CIP Sewer Main,60624.0,,,2025.0,10/2025,10-23,4224 W GRENSHAW ST,2417,CIP Sewer Main 4224 W GRENSHAW ST,,,,,,,,,,,,,,,,left_only
2297,Breaks & Leaks LSLR,PUBLIC,1478 W 72ND PL,Completed,,17.0,2025-10-23 00:00:00,Breaks Leaks,60636.0,,,2025.0,10/2025,10-23,1478 W 72ND PL,2418,Breaks Leaks 1478 W 72ND PL,,,,,,,,,,,,,,,,left_only
2298,,CONSUMER,2941 W 71ST ST,Completed,,18.0,2025-10-23 00:00:00,Daycare Private,60629.0,,Daycares,2025.0,10/2025,10-23,2941 W 71ST ST,2419,Daycare Private 2941 W 71ST ST,,,,,,,,,,,,,,,,left_only
2299,Breaks & Leaks LSLR,PUBLIC,6521 N NEVA AVE,Completed,,41.0,2025-10-23 00:00:00,Breaks Leaks,60631.0,,,2025.0,10/2025,10-23,6521 N NEVA AVE,2420,Breaks Leaks 6521 N NEVA AVE,,,,,,,,,,,,,,,,left_only
2300,Breaks & Leaks LSLR,PUBLIC,7727 S EVANS AVE,Completed,,6.0,2025-10-23 00:00:00,Breaks Leaks,60619.0,,,2025.0,10/2025,10-23,7727 S EVANS AVE,2421,Breaks Leaks 7727 S EVANS AVE,,,,,,,,,,,,,,,,left_only
2301,Breaks & Leaks LSLR,CONSUMER,3408 W 64TH PL,Completed,,14.0,2025-10-23 00:00:00,Breaks Leaks,60629.0,,,2025.0,10/2025,10-23,3408 W 64TH PL,2422,Breaks Leaks 3408 W 64TH PL,,,,,,,,,,,,,,,,left_only
2302,Breaks & Leaks LSLR,CONSUMER,8640 S KARLOV AVE,Completed,,18.0,2025-10-23 00:00:00,Breaks Leaks,60652.0,,,2025.0,10/2025,10-23,8640 S KARLOV AVE,2423,Breaks Leaks 8640 S KARLOV AVE,,,,,,,,,,,,,,,,left_only
2303,Breaks & Leaks LSLR,CONSUMER,6550 S STEWART AVE,Completed,,6.0,2025-10-23 00:00:00,Breaks Leaks,60621.0,,,2025.0,10/2025,10-23,6550 S STEWART AVE,2424,Breaks Leaks 6550 S STEWART AVE,,,,,,,,,,,,,,,,left_only
2304,Breaks & Leaks LSLR,CONSUMER,4035 W WARWICK AVE,Completed,,30.0,2025-10-23 00:00:00,Breaks Leaks,60641.0,,,2025.0,10/2025,10-23,4035 W WARWICK AVE,2426,Breaks Leaks 4035 W WARWICK AVE,,,,,,,,,,,,,,,,left_only
2305,Breaks & Leaks LSLR,PUBLIC,4035 W WARWICK AVE,Completed,,30.0,2025-10-23 00:00:00,Breaks Leaks,60641.0,,,2025.0,10/2025,10-23,4035 W WARWICK AVE,2427,Breaks Leaks 4035 W WARWICK AVE,,,,,,,,,,,,,,,,left_only
2306,Block Level LSLR,PUBLIC,8008 S JEFFERY BLVD,Completed,,8.0,2025-10-23 00:00:00,Block Level LSLR,60617.0,,,2025.0,10/2025,10-23,8008 S JEFFERY BLVD,2428,Block Level LSLR 8008 S JEFFERY BLVD,,,,,,,,,,,,,,,,left_only
2307,Block Level LSLR,CONSUMER,8008 S JEFFERY BLVD,Completed,,8.0,2025-10-23 00:00:00,Block Level LSLR,60617.0,,,2025.0,10/2025,10-23,8008 S JEFFERY BLVD,2429,Block Level LSLR 8008 S JEFFERY BLVD,,,,,,,,,,,,,,,,left_only
2308,Homeowner Initiated LSLR,BOTH AS REQUIRED,1141 W MORSE AVE,Completed,,49.0,2025-10-23 00:00:00,Homeowner Initiated,60626.0,,,2025.0,10/2025,10-23,1141 W MORSE AVE,2430,Homeowner Initiated 1141 W MORSE AVE,,,,,,,,,,,,,,,,left_only
2309,Block Level LSLR,PUBLIC,8014 S JEFFERY BLVD,Completed,,8.0,2025-10-23 00:00:00,Block Level LSLR,60617.0,,,2025.0,10/2025,10-23,8014 S JEFFERY BLVD,2431,Block Level LSLR 8014 S JEFFERY BLVD,,,,,,,,,,,,,,,,left_only
2310,Block Level LSLR,CONSUMER,8014 S JEFFERY BLVD,Completed,,8.0,2025-10-23 00:00:00,Block Level LSLR,60617.0,,,2025.0,10/2025,10-23,8014 S JEFFERY BLVD,2432,Block Level LSLR 8014 S JEFFERY BLVD,,,,,,,,,,,,,,,,left_only
2311,Homeowner Initiated LSLR,BOTH AS REQUIRED,328 N. LOCKWOOD,Completed,,37.0,2025-10-23 00:00:00,Homeowner Initiated,60644.0,,,2025.0,10/2025,10-23,328 N LOCKWOOD,2433,Homeowner Initiated 328 N LOCKWOOD,,,,,,,,,,,,,,,,left_only
2312,Breaks & Leaks LSLR,CONSUMER,5821 W ROSCOE ST,Completed,,30.0,2025-10-23 00:00:00,Breaks Leaks,60634.0,,,2025.0,10/2025,10-23,5821 W ROSCOE ST,2434,Breaks Leaks 5821 W ROSCOE ST,,,,,,,,,,,,,,,,left_only
2313,Breaks & Leaks LSLR,CONSUMER,5530 W MELROSE ST,Completed,,30.0,2025-10-23 00:00:00,Breaks Leaks,60641.0,,,2025.0,10/2025,10-23,5530 W MELROSE ST,2435,Breaks Leaks 5530 W MELROSE ST,,,,,,,,,,,,,,,,left_only
2314,CIP WM LSLR,PUBLIC,2424 N OAK PARK AVE,Completed,,36.0,2025-10-23 00:00:00,CIP Water Main,60707.0,,,2025.0,10/2025,10-23,2424 N OAK PARK AVE,2436,CIP Water Main 2424 N OAK PARK AVE,,,,,,,,,,,,,,,,left_only
2315,CIP WM LSLR,CONSUMER,2424 N OAK PARK AVE,Completed,,36.0,2025-10-23 00:00:00,CIP Water Main,60707.0,,,2025.0,10/2025,10-23,2424 N OAK PARK AVE,2437,CIP Water Main 2424 N OAK PARK AVE,,,,,,,,,,,,,,,,left_only
2316,Breaks & Leaks LSLR,PUBLIC,5530 W MELROSE ST,Completed,,30.0,2025-10-23 00:00:00,Breaks Leaks,60641.0,,,2025.0,10/2025,10-23,5530 W MELROSE ST,2438,Breaks Leaks 5530 W MELROSE ST,,,,,,,,,,,,,,,,left_only
2317,Breaks & Leaks LSLR,PUBLIC,5821 W ROSCOE ST,Completed,,30.0,2025-10-23 00:00:00,Breaks Leaks,60634.0,,,2025.0,10/2025,10-23,5821 W ROSCOE ST,2439,Breaks Leaks 5821 W ROSCOE ST,,,,,,,,,,,,,,,,left_only
2318,CIP WM LSLR,PUBLIC,2452 N OAK PARK AVE,Completed,,36.0,2025-10-23 00:00:00,CIP Water Main,60707.0,,,2025.0,10/2025,10-23,2452 N OAK PARK AVE,2440,CIP Water Main 2452 N OAK PARK AVE,,,,,,,,,,,,,,,,left_only
2319,CIP WM LSLR,CONSUMER,2452 N OAK PARK AVE,Completed,,36.0,2025-10-23 00:00:00,CIP Water Main,60707.0,,,2025.0,10/2025,10-23,2452 N OAK PARK AVE,2441,CIP Water Main 2452 N OAK PARK AVE,,,,,,,,,,,,,,,,left_only
2320,CIP WM LSLR,CONSUMER,2453 N OAK PARK AVE,Completed,,36.0,2025-10-23 00:00:00,CIP Water Main,60707.0,,,2025.0,10/2025,10-23,2453 N OAK PARK AVE,2442,CIP Water Main 2453 N OAK PARK AVE,,,,,,,,,,,,,,,,left_only
2321,Breaks & Leaks LSLR,PUBLIC,8640 S KARLOV AVE,Completed,,18.0,2025-10-23 00:00:00,Breaks Leaks,60652.0,,,2025.0,10/2025,10-23,8640 S KARLOV AVE,2443,Breaks Leaks 8640 S KARLOV AVE,,,,,,,,,,,,,,,,left_only
2322,Breaks & Leaks LSLR,PUBLIC,6550 S STEWART AVE,Completed,,6.0,2025-10-23 00:00:00,Breaks Leaks,60621.0,,,2025.0,10/2025,10-23,6550 S STEWART AVE,2444,Breaks Leaks 6550 S STEWART AVE,,,,,,,,,,,,,,,,left_only
2323,Breaks & Leaks LSLR,CONSUMER,1478 W 72ND PL,Completed,,17.0,2025-10-23 00:00:00,Breaks Leaks,60636.0,,,2025.0,10/2025,10-23,1478 W 72ND PL,2445,Breaks Leaks 1478 W 72ND PL,,,,,,,,,,,,,,,,left_only
2324,Breaks & Leaks LSLR,CONSUMER,3400 W LEXINGTON ST,Completed,,24.0,2025-10-23 00:00:00,Breaks Leaks,60624.0,,,2025.0,10/2025,10-23,3400 W LEXINGTON ST,2446,Breaks Leaks 3400 W LEXINGTON ST,,,,,,,,,,,,,,,,left_only
2325,Breaks & Leaks LSLR,PUBLIC,3400 W LEXINGTON ST,Completed,,24.0,2025-10-23 00:00:00,Breaks Leaks,60624.0,,,2025.0,10/2025,10-23,3400 W LEXINGTON ST,2447,Breaks Leaks 3400 W LEXINGTON ST,,,,,,,,,,,,,,,,left_only
2326,CIP WM LSLR,PUBLIC,8715 S WALLACE ST,Completed,,21.0,2025-10-23 00:00:00,CIP Water Main,60620.0,,,2025.0,10/2025,10-23,8715 S WALLACE ST,2448,CIP Water Main 8715 S WALLACE ST,,,,,,,,,,,,,,,,left_only
2327,CIP WM LSLR,PUBLIC,3001 W 21ST PL,Completed,,24.0,2025-10-23 00:00:00,CIP Water Main,60623.0,,,2025.0,10/2025,10-23,3001 W 21ST PL,2449,CIP Water Main 3001 W 21ST PL,,,,,,,,,,,,,,,,left_only
2328,Breaks & Leaks LSLR,CONSUMER,3041 S LOCK ST,Completed,,11.0,2025-10-23 00:00:00,Breaks Leaks,60608.0,,,2025.0,10/2025,10-23,3041 S LOCK ST,2450,Breaks Leaks 3041 S LOCK ST,,,,,,,,,,,,,,,,left_only
2329,CIP WM LSLR,CONSUMER,3001 W 21ST PL,Completed,,24.0,2025-10-23 00:00:00,CIP Water Main,60623.0,,,2025.0,10/2025,10-23,3001 W 21ST PL,2451,CIP Water Main 3001 W 21ST PL,,,,,,,,,,,,,,,,left_only
2330,CIP WM LSLR,PUBLIC,3002 W 21ST PL,Completed,,24.0,2025-10-23 00:00:00,CIP Water Main,60623.0,,,2025.0,10/2025,10-23,3002 W 21ST PL,2452,CIP Water Main 3002 W 21ST PL,,,,,,,,,,,,,,,,left_only
2331,Breaks & Leaks LSLR,PUBLIC,3041 S LOCK ST,Completed,,11.0,2025-10-23 00:00:00,Breaks Leaks,60608.0,,,2025.0,10/2025,10-23,3041 S LOCK ST,2453,Breaks Leaks 3041 S LOCK ST,,,,,,,,,,,,,,,,left_only
2332,CIP WM LSLR,CONSUMER,3002 W 21ST PL,Completed,,24.0,2025-10-23 00:00:00,CIP Water Main,60623.0,,,2025.0,10/2025,10-23,3002 W 21ST PL,2454,CIP Water Main 3002 W 21ST PL,,,,,,,,,,,,,,,,left_only
2333,Breaks & Leaks LSLR,CONSUMER,1724 N HARDING AVE,Completed,,26.0,2025-10-23 00:00:00,Breaks Leaks,60647.0,,,2025.0,10/2025,10-23,1724 N HARDING AVE,2455,Breaks Leaks 1724 N HARDING AVE,,,,,,,,,,,,,,,,left_only
2334,Breaks & Leaks LSLR,PUBLIC,5207 S TRUMBULL AVE,Completed,,14.0,2025-10-23 00:00:00,Breaks Leaks,60632.0,,,2025.0,10/2025,10-23,5207 S TRUMBULL AVE,2456,Breaks Leaks 5207 S TRUMBULL AVE,,,,,,,,,,,,,,,,left_only
2335,Breaks & Leaks LSLR,PUBLIC,1724 N HARDING AVE,Completed,,26.0,2025-10-23 00:00:00,Breaks Leaks,60647.0,,,2025.0,10/2025,10-23,1724 N HARDING AVE,2457,Breaks Leaks 1724 N HARDING AVE,,,,,,,,,,,,,,,,left_only
2336,Breaks & Leaks LSLR,CONSUMER,5407 N OKETO AVE,Completed,,41.0,2025-10-23 00:00:00,Breaks Leaks,60656.0,,,2025.0,10/2025,10-23,5407 N OKETO AVE,2458,Breaks Leaks 5407 N OKETO AVE,,,,,,,,,,,,,,,,left_only
2337,Breaks & Leaks LSLR,PUBLIC,5407 N OKETO AVE,Completed,,41.0,2025-10-23 00:00:00,Breaks Leaks,60656.0,,,2025.0,10/2025,10-23,5407 N OKETO AVE,2459,Breaks Leaks 5407 N OKETO AVE,,,,,,,,,,,,,,,,left_only
2338,Breaks & Leaks LSLR,CONSUMER,2243 W ERIE ST,Completed,,36.0,2025-10-23 00:00:00,Breaks Leaks,60612.0,,,2025.0,10/2025,10-23,2243 W ERIE ST,2460,Breaks Leaks 2243 W ERIE ST,,,,,,,,,,,,,,,,left_only
2339,Breaks & Leaks LSLR,CONSUMER,5601 05 S UNIVERSITY AVE,Completed,,5.0,2025-10-23 00:00:00,Breaks Leaks,60637.0,,,2025.0,10/2025,10-23,5601 S UNIVERSITY AVE,2461,Breaks Leaks 5601 S UNIVERSITY AVE,,,,,,,,,,,,,,,,left_only
2340,Daycares,PUBLIC,2960 W COLUMBUS AVE,Completed,,18.0,2025-10-23 00:00:00,Daycare Public,60652.0,,,2025.0,10/2025,10-23,2960 W COLUMBUS AVE,2462,Daycare Public 2960 W COLUMBUS AVE,,,,,,,,,,,,,,,,left_only
2341,Daycares,PUBLIC,2941 W 71ST ST,Completed,,18.0,2025-10-23 00:00:00,Daycare Public,60629.0,,,2025.0,10/2025,10-23,2941 W 71ST ST,2463,Daycare Public 2941 W 71ST ST,,,,,,,,,,,,,,,,left_only
2342,CIP WM LSLR,PUBLIC,8721 S WALLACE ST,Completed,,21.0,2025-10-23 00:00:00,CIP Water Main,60620.0,,,2025.0,10/2025,10-23,8721 S WALLACE ST,2464,CIP Water Main 8721 S WALLACE ST,,,,,,,,,,,,,,,,left_only
2343,Breaks & Leaks LSLR,CONSUMER,5300 N VIRGINIA AVE,Completed,,39.0,2025-10-22 16:11:00,Breaks Leaks,60625.0,,,2025.0,10/2025,10-22,5300 N VIRGINIA AVE,2465,Breaks Leaks 5300 N VIRGINIA AVE,,,,,,,,,,,,,,,,left_only
2344,Breaks & Leaks LSLR,CONSUMER,10024 S EGGLESTON AVE,Completed,,9.0,2025-10-22 11:21:00,Breaks Leaks,60628.0,,,2025.0,10/2025,10-22,10024 S EGGLESTON AVE,2466,Breaks Leaks 10024 S EGGLESTON AVE,,,,,,,,,,,,,,,,left_only
2345,Breaks & Leaks LSLR,PUBLIC,3000 04 N PULASKI RD,Completed,,31.0,2025-10-22 00:00:00,Breaks Leaks,60641.0,,,2025.0,10/2025,10-22,3000 N PULASKI RD,2468,Breaks Leaks 3000 N PULASKI RD,,,,,,,,,,,,,,,,left_only
2346,Breaks & Leaks LSLR,CONSUMER,4014 W 15TH ST,Completed,,24.0,2025-10-22 00:00:00,Breaks Leaks,60623.0,,,2025.0,10/2025,10-22,4014 W 15TH ST,2469,Breaks Leaks 4014 W 15TH ST,,,,,,,,,,,,,,,,left_only
2347,CIP SM LSLR,CONSUMER,1423 W OLIVE AVE,Completed,,48.0,2025-10-22 00:00:00,CIP Sewer Main,60660.0,,,2025.0,10/2025,10-22,1423 W OLIVE AVE,2470,CIP Sewer Main 1423 W OLIVE AVE,,,,,,,,,,,,,,,,left_only
2348,Daycares,PUBLIC,8757 S MORGAN ST,Completed,,21.0,2025-10-22 00:00:00,Daycare Public,60620.0,,,2025.0,10/2025,10-22,8757 S MORGAN ST,2471,Daycare Public 8757 S MORGAN ST,,,,,,,,,,,,,,,,left_only
2349,CIP WM LSLR,CONSUMER,8551 S PAULINA ST,Completed,,18.0,2025-10-22 00:00:00,CIP Water Main,60620.0,,,2025.0,10/2025,10-22,8551 S PAULINA ST,2473,CIP Water Main 8551 S PAULINA ST,,,,,,,,,,,,,,,,left_only
2350,CIP WM LSLR,PUBLIC,8551 S PAULINA ST,Completed,,18.0,2025-10-22 00:00:00,CIP Water Main,60620.0,,,2025.0,10/2025,10-22,8551 S PAULINA ST,2474,CIP Water Main 8551 S PAULINA ST,,,,,,,,,,,,,,,,left_only
2351,Breaks & Leaks LSLR,PUBLIC,941 W 71ST ST,Completed,,17.0,2025-10-22 00:00:00,Breaks Leaks,60621.0,,,2025.0,10/2025,10-22,941 W 71ST ST,2475,Breaks Leaks 941 W 71ST ST,,,,,,,,,,,,,,,,left_only
2352,Breaks & Leaks LSLR,CONSUMER,941 W 71ST ST,Completed,,17.0,2025-10-22 00:00:00,Breaks Leaks,60621.0,,,2025.0,10/2025,10-22,941 W 71ST ST,2476,Breaks Leaks 941 W 71ST ST,,,,,,,,,,,,,,,,left_only
2353,Breaks & Leaks LSLR,CONSUMER,2847 N TALMAN AVE,Completed,,35.0,2025-10-22 00:00:00,Breaks Leaks,60618.0,,,2025.0,10/2025,10-22,2847 N TALMAN AVE,2477,Breaks Leaks 2847 N TALMAN AVE,,,,,,,,,,,,,,,,left_only
2354,Breaks & Leaks LSLR,CONSUMER,9129 S BALTIMORE AVE,Completed,,10.0,2025-10-22 00:00:00,Breaks Leaks,60617.0,,,2025.0,10/2025,10-22,9129 S BALTIMORE AVE,2478,Breaks Leaks 9129 S BALTIMORE AVE,,,,,,,,,,,,,,,,left_only
2355,Breaks & Leaks LSLR,PUBLIC,5300 N VIRGINIA AVE,Completed,,39.0,2025-10-22 00:00:00,Breaks Leaks,60625.0,,,2025.0,10/2025,10-22,5300 N VIRGINIA AVE,2479,Breaks Leaks 5300 N VIRGINIA AVE,,,,,,,,,,,,,,,,left_only
2356,CIP WM LSLR,PUBLIC,3009 W 21ST PL,Completed,,24.0,2025-10-22 00:00:00,CIP Water Main,60623.0,,,2025.0,10/2025,10-22,3009 W 21ST PL,2480,CIP Water Main 3009 W 21ST PL,,,,,,,,,,,,,,,,left_only
2357,CIP WM LSLR,PUBLIC,2367 N OAK PARK AVE,Completed,,36.0,2025-10-22 00:00:00,CIP Water Main,60707.0,,,2025.0,10/2025,10-22,2367 N OAK PARK AVE,2481,CIP Water Main 2367 N OAK PARK AVE,,,,,,,,,,,,,,,,left_only
2358,CIP WM LSLR,CONSUMER,3009 W 21ST PL,Completed,,24.0,2025-10-22 00:00:00,CIP Water Main,60623.0,,,2025.0,10/2025,10-22,3009 W 21ST PL,2482,CIP Water Main 3009 W 21ST PL,,,,,,,,,,,,,,,,left_only
2359,CIP WM LSLR,CONSUMER,3008 W 21ST PL,Completed,,24.0,2025-10-22 00:00:00,CIP Water Main,60623.0,,,2025.0,10/2025,10-22,3008 W 21ST PL,2483,CIP Water Main 3008 W 21ST PL,,,,,,,,,,,,,,,,left_only
2360,CIP WM LSLR,PUBLIC,3008 W 21ST PL,Completed,,24.0,2025-10-22 00:00:00,CIP Water Main,60623.0,,,2025.0,10/2025,10-22,3008 W 21ST PL,2484,CIP Water Main 3008 W 21ST PL,,,,,,,,,,,,,,,,left_only
2361,Breaks & Leaks LSLR,PUBLIC,9129 S BALTIMORE AVE,Completed,,10.0,2025-10-22 00:00:00,Breaks Leaks,60617.0,,,2025.0,10/2025,10-22,9129 S BALTIMORE AVE,2485,Breaks Leaks 9129 S BALTIMORE AVE,,,,,,,,,,,,,,,,left_only
2362,Breaks & Leaks LSLR,PUBLIC,11424 S NORMAL AVE,Completed,,21.0,2025-10-22 00:00:00,Breaks Leaks,60628.0,,,2025.0,10/2025,10-22,11424 S NORMAL AVE,2486,Breaks Leaks 11424 S NORMAL AVE,,,,,,,,,,,,,,,,left_only
2363,CIP WM LSLR,CONSUMER,8615 S PAULINA ST,Completed,,18.0,2025-10-22 00:00:00,CIP Water Main,60620.0,,,2025.0,10/2025,10-22,8615 S PAULINA ST,2487,CIP Water Main 8615 S PAULINA ST,,,,,,,,,,,,,,,,left_only
2364,Breaks & Leaks LSLR,CONSUMER,11424 S NORMAL AVE,Completed,,21.0,2025-10-22 00:00:00,Breaks Leaks,60628.0,,,2025.0,10/2025,10-22,11424 S NORMAL AVE,2488,Breaks Leaks 11424 S NORMAL AVE,,,,,,,,,,,,,,,,left_only
2365,Equity LSLR,BOTH AS REQUIRED,7952 S LUELLA AVE,Completed,,7.0,2025-10-22 00:00:00,Equity,60617.0,,,2025.0,10/2025,10-22,7952 S LUELLA AVE,2489,Equity 7952 S LUELLA AVE,,,,,,,,,,,,,,,,left_only
2366,Breaks & Leaks LSLR,PUBLIC,5929 N FAIRFIELD AVE,Completed,,40.0,2025-10-22 00:00:00,Breaks Leaks,60659.0,,,2025.0,10/2025,10-22,5929 N FAIRFIELD AVE,2490,Breaks Leaks 5929 N FAIRFIELD AVE,,,,,,,,,,,,,,,,left_only
2367,Breaks & Leaks LSLR,CONSUMER,2104 N RICHMOND ST,Completed,,1.0,2025-10-22 00:00:00,Breaks Leaks,60647.0,,,2025.0,10/2025,10-22,2104 N RICHMOND ST,2491,Breaks Leaks 2104 N RICHMOND ST,,,,,,,,,,,,,,,,left_only
2368,Breaks & Leaks LSLR,PUBLIC,10100 S WALLACE ST,Completed,,9.0,2025-10-22 00:00:00,Breaks Leaks,60628.0,,,2025.0,10/2025,10-22,10100 S WALLACE ST,2492,Breaks Leaks 10100 S WALLACE ST,,,,,,,,,,,,,,,,left_only
2369,Breaks & Leaks LSLR,CONSUMER,5929 N FAIRFIELD AVE,Completed,,40.0,2025-10-22 00:00:00,Breaks Leaks,60659.0,,,2025.0,10/2025,10-22,5929 N FAIRFIELD AVE,2493,Breaks Leaks 5929 N FAIRFIELD AVE,,,,,,,,,,,,,,,,left_only
2370,Equity LSLR,BOTH AS REQUIRED,9849 S HOXIE AVE,Completed,,7.0,2025-10-22 00:00:00,Equity,60617.0,,,2025.0,10/2025,10-22,9849 S HOXIE AVE,2494,Equity 9849 S HOXIE AVE,,,,,,,,,,,,,,,,left_only
2371,Breaks & Leaks LSLR,PUBLIC,2104 N RICHMOND ST,Completed,,1.0,2025-10-22 00:00:00,Breaks Leaks,60647.0,,,2025.0,10/2025,10-22,2104 N RICHMOND ST,2495,Breaks Leaks 2104 N RICHMOND ST,,,,,,,,,,,,,,,,left_only
